filename,reading,difficulty
シャム寒.png,しゃむさむ,★1
ミニ右耳.png,みにみぎみみ,★2
さらばだタラバ.png,さらばだたらば,★2
油まみれラブラブモグラアルバム.png,あぶらまみれらぶらぶもぐらあるばむ,★3
駅前に寝間着エリマキトカゲ.png,えきまえにねまぎえりまきとかげ,★3
歩き炙りかぶり.png,あるきあぶりかぶり,★2
ダブル歩き炙りかぶり.png,だぶるあるきあぶりかぶり,★3
東京特許許可局だったとこ薬局になってる.png,とうきょうとっきょきょかきょくだったとこやっきょくになってる,★5
ぴったり密着カップルがっつりひっかき.png,ぴったりみっちゃくかっぷるがっつりひっかき,★4
弟の今日のトート東京と京都のどうのこうの.png,おとうとのきょうのとーととうきょうときょうとのどうのこうの,★5
腹痛中普通服作る？.png,ふくつうちゅうふつうふくつくる,★4
逆さサッカー.png,さかささっかー,★2
何者の尿ナノ？.png,なにもののにょうなの,★2
ジジイ残念じゃが残像じゃぞ.png,じじいざんねんじゃがざんぞうじゃぞ,★4
あのデカめのカメの中身カニじゃね.png,あのでかめのかめのなかみかにじゃね,★3
つくねつつくキツネきつくね？.png,つくねつつくきつねきつくね,★4
ミニ右耳ビック左ピース.png,みにみぎみみびっぐひだりぴーす,★3
飲み水盗みミミズク.png,のみみずぬすみみみずく,★3
シャア少佐、機銃掃射.png,しゃあしょうさきかんじゅうそうしゃ,★4
頭とか肩とかカカトとかに鷹.png,あたまとかかたとかかかととかにたか,★3
マサチューセッツ州の旅客機100機のよく柿食う客各100人がガス撒くバスでガスバス爆発.png,まさちゅーせっつしゅうのりょかくきひゃっきのよくかきくうきゃくかくひゃくにんががすまくばすでがすばすばくはつ,★5
ここはグラナダなのだぞ.png,ここはぐらなだなのだぞ,★2
カルボナーラならないのだぞ.png,かるぼなーらならないのだぞ,★3
片乳つつきキツツキきつー.png,かたちちつつききつつききつー,★4
ひょっとこカップルガッツリ骨折.png,ひょっとこかっぷるがっつりこっせつ,★3
カカトとかトマトとかトガヒミコ.png,かかととかとまととかとがひみこ,★3
手術中消臭中.png,しゅじゅつちゅうしょうしゅうちゅう,★4
煮切り利尻こんぶ.png,にきりりしりこんぶ,★3
初老争訟中に少々粗相.png,しょろうそうしょうちゅうにしょうしょうそそう,★5
身長成長中、ミニ右耳成長痛.png,しんちょうせいちょうちゅうみにみぎみみせいちょうつう,★4
庭にワニの間パパママパニック.png,にわにわにのまぱぱままぱにっく,★3
ミニ右耳に偽にぎり.png,みにみぎみみににせにぎり,★3
小卒小説.png,しょうそつしょうせつ,★3
摘出手術中普通シチュー食う？.png,てきしゅつしゅじゅつちゅうふつうしちゅーくう,★5
子供の頃のこそ泥モコモコ.png,こどものころのこそどろもこもこ,★3
すごく具合わるいズワイガニ.png,すごくぐあいわるいずわいがに,★3
超少食草食動物.png,ちょうしょうしょくそうしょくどうぶつ,★4
偽札シャツ.png,にせさつしゃつ,★3
ハム噛むパグ抱きハニカム白髪.png,はむかむぱぐだきはにかむはくはつ,★4
路上のゾウのジョウロどうぞ.png,ろじょうのぞうのじょうろどうぞ,★3
桃も煮物もなまけものなの.png,もももにものもなまけものなの,★3
開脚改革.png,かいきゃくかいかく,★3
寝込む三毛猫見守る獣.png,ねこむみけねこみまもるけもの,★3
塗り薬塗り込み娘盗み見ミノムシ.png,ぬりぐすりぬりこみむすめぬすみみみのむし,★4
ペアルックヘルメットモルモット細マッチョフルボッコ.png,ぺあるっくへるめっともるもっとほそまっちょふるぼっこ,★4
めちゃくちゃびちゃびちゃ美術部.png,めちゃくちゃびちゃびちゃびじゅつぶ,★3
ペアルックヘルメットモルモットめちゃめちゃびちゃびちゃ美術部フルボッコ.png,ぺあるっくへるめっともるもっとめちゃめちゃびちゃびちゃびじゅつぶふるぼっこ,★5
横の子この世？.png,よこのここのよ,★2
湯呑み夢のみ見る野ネズミ.png,ゆのみゆめのみみるのねずみ,★3
警察シャツシャチ.png,けいさつしゃしゃち,★4
急にきゅうり９本食う小僧.png,きゅうにきゅうりきゅうほんくうこぞう,★4
母端.png,はははし,★2
師匠咀嚼咀嚼.png,ししょうそしゃくそしゃく,★4
リアルアルパカパーカーカッパから借りパク.png,りあるあるぱかぱーかかっぱからかりぱく,★4
